filename,category,layout,title,date,rating,meal,address,country,region,suburb,website,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-13-moxies-cafe.md,Reviews,post,Moxie's Cafe,2020-12-13,2,lunch,"67 George Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://www.facebook.com/moxiescafe.pn/,"Eggs benedict with mushroom Pork belly burger with chips Let us tell you about Steve's latte. Moxies was quite busy when we arrived, with a few reserved tables. The table next to us was reserved for Steve. While we were waiting for our meals to come out (which took 20 minutes, but they had told us 30 minutes and to be fair it was fairly busy) we watched with interest as a latte bowl complete with chocolate fish was delivered to Steve's reserved empty table for two. The latte sat there. And sat there. At a time when the latte was surely lukewarm the apparent manager (judging by the way he was bustling about and shaking hands with customers) removed the latte from the table and moved it to a neighbouring, non-reserved and much larger table. He removed the saucer and placed it atop the bowl as a lid of sorts, assumedly in a vain attempt to keep what little heat remained inside. Some time later a man and a woman arrived and sat at Steve's table. Was this Steve? Less than one minute later their meals arrived - Steve (?) and associate had clearly ordered in advance. Yet the latte remained banished to the other table. More mysteriously still, shortly after this two coffees (none of which was a latte bowl) arrived for Steve (?) and associate. Just as we were ready to give up hope, a gentleman arrived at the latte table. The manager greeted him and indicated the latte bowl, which the man started to drink. Was THIS Steve? Then who had sat at Steve's table? And why was the latte prepared SO FAR IN ADVANCE of either Steves' arrivals? We left Moxies after a pretty average meal with more questions than answers. During this drama, we did receive our food. The eggs benedict was just like a thousand others we've had. The pork belly burger was comically over-tall and so impossible to eat without deconstruction. Even if the burger hadn't been taller than Business Andy's face, pork belly is not suitable as a burger filling as it is too chewy - pulled pork would have been preferable. The burger was nice, just difficult to eat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18-the-bean-cafe.md,Reviews,post,The Bean Cafe,2020-12-18,1,dinner,"92 Broadway Avenue, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://www.facebook.com/beancafe/,"Honey glazed beef hot plate with rice Mee goreng with BBQ pork If you want to read some classic manga, this is the place for you. If you want a nice meal, maybe you'd be better looking elsewhere. The beef was yuck, it was very chewy, and had that flavour you remember from that time you made that awful stir fry with the cheapest beef from Pak'nSave when you were first flatting. The sauce, while very sweet wasn't bad, and neither were the vegetables, but the beef ruined the whole thing. The mee goreng was reasonable, but couldn't elevate this meal above a 1 by itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-19-shake-out.md,Reviews,post,Shake Out,2020-12-19,3,lunch,"Shop 2/199 Main Street, Takaro, Palmerston North 4412",New Zealand,Palmerston North,Takaro,https://www.shakeout.co/,"Cheeseburger Chicken burger Cheesy fries Cheesecake shake Shake Out is a fast food burger establishment, with a difference. The set-up is designed to be streamlined with cashierless, cashless ordering using a tablet, a limited menu and no customisation. Speaking as people who sometimes like to remove the tomato from their burger, the lack of customisation was a little disappointing. However, the burgers were very good. Quality, fresh ingredients and great buns, these were simple burgers done well. The burgers are small which is great for lunch and was reflected in the price. The cheesy fries came with a cheese dipping sauce which was a bit heart attack-esque. The cheesecake shake was similarly artery clogging but we appreciated the unique cheesecake flavour, although it was a bit sweet and was very thick - we recommend mixing the shake thoroughly before drinking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28-master-bakery-coffee-shop.md,Reviews,post,Master Bakery & Coffee Shop,2020-12-28,1,lunch,"6 Manawaroa Street, West End, Palmerston North 4410",New Zealand,Palmerston North,West End,https://www.facebook.com/MasterBakeryPN,"Potato top pie Pork riblet roll Cookie caramel slice This is where your Nana would take you in the 90s, right down to the red plastic tray that slides in front of the cabinets and the teeny plates. The pastry on the potato top was extremely dry, as was as the pork riblet. The cookie caramel slice was passable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31-fast-food-house.md,Reviews,post,Fast Food House,2020-12-31,1,lunch,"70-72 Kimbolton Road, Feilding 4702",New Zealand,Manawatu,Feilding,https://feilding.co.nz/address/business-directory/fast-food-house.html,"The Pensioner Pack: fish, chips, tartare sauce Fish and cheese burger Thirty years of zero upkeep on the quintessential 80's decor has taken its toll, the result is a bit depressing. Not as depressing as the fish burger though. The burger tasted like a combination of sugar, oil, and nothing, and not in a good way. The fish in the Pensioner Pack was rubbery, although the slice of lemon was appreciated, and the chips were alright.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04-angkor-wat-bakery-cafe.md,Reviews,post,Angkor Wat Bakery & Cafe,2021-01-04,2,lunch,"689 Tremaine Avenue, Palmerston North Central, Palmerston North 4414",New Zealand,Palmerston North,Palmerston North Central,https://www.facebook.com/p/Angkor-Wat-Bakery-Cafe-100032983556425/,"Fish burger Satay chicken burger with chips The service in Angkor Wat was so excellent that, were there a rating for service alone, this would be at the top. The woman at the counter was an absolute delight - patient, friendly, laughed at all our jokes and even cracked one herself. Unfortunately, our rating system is not on service alone and the food at Angkor Wat was only so-so. Some care had been taken in constructing the burgers including fresh fancy lettuce and tomato. However, the fish was a little fishy and there was a bit too much lettuce in the fish burger. The satay chicken burger was a little better but still only okay. A note on the clientele. In the average population, what proportion would you expect to have a limp? Five percent? Ten percent? Try seventy-five percent (of the customers dining in, excluding us). Seems a little extreme. Did something happen here?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15-tikka-talks.md,Reviews,post,Tikka Talks,2021-01-15,3,dinner,"126 King Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,https://tikkatalkspalmerstonnorth.co.nz,"Poppadums with cumin seeds Onion bhaji with tamarind sauce Paneer tikka masala with rice Beef jalfrezi with rice Aloo paratha Onion kulcha A small thing of mint yoghurt sauce Let me tell you who's punching above their weight; Tikka Talks is punching above their weight. The place looks awful. We were the only people there and decorations included a pool table, seven empty food cabinets, a childrens' play pen, a collection of four Warehouse-esque kiwi themed framed inspirational prints, and a large green dreamcatcher with a unicorn in the centre. But all this was saved by one man, and his mission, which was to upsell us at every opportunity, and to slay us with his jokes. Our original order was two curries, one plain naan, and one cheese naan, but the man drives a hard bargain, and by the time we realised that we had been worked by a skilled salesman, it was far too late. We were assured that we were going to be served something special that we were going to love, and he was right, dammit. The cumin seeds in the poppadums was a nice touch, the bhaji was just the way we like it, and the tamarind sauce, which we were proudly assured was made from scratch, was excellent. The curries themselves were both delicious. And as for the breads, the onion kulcha was sweet and tasty, while the aloo was just alright. Tikka Talks deserves more customers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16-stage-door-cafe.md,Reviews,post,Stage Door Cafe,2021-01-16,1,lunch,"96 King Street, Palmerston North Central, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,http://www.stagedoor.cafe/,"Bacon buttie and chips Macaroni cheese If the staff at Stage Door Cafe didn't want us to eat there, they should have just said. When we arrived (at 1:30pm on a Saturday) we were the only people there and while we were told they were still cooking, their faces said otherwise. The macaroni cheese was bland although we do commend their reheating skills - reheated cabinet mac'n'cheese often comes out as a brick-like structure, but this looked like it had just been made. The bacon buttie was very disappointing. For $15 we expect more than just bread and bacon hastily slapped together. There wasn't even any sauce in the sandwich.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22-cafe-express.md,Reviews,post,Cafe Express,2021-01-22,1,dinner,"The Grand Building, 41 The Square, Palmerston North 4410",New Zealand,Palmerston North,Palmerston North Central,http://www.cafeexpress.net.nz/,"Meatlovers pizza Pesto pasta If you like huge meals, Cafe Express is the place for you. If you like nice meals, maybe not so much. The ""medium"" pizza and ""small"" pasta we ordered would have comfortably fed three people, and for a very modest price. Unfortunately, the flavours couldn't keep up with the value. The pasta was nice on the first bite. But two to three bites in it became apparent that this was really just spaghetti in a white sauce with minimal pesto and parmesan resulting in a bland dish. This became tedious very fast and was a long, long slog to the bottom of the bowl. The pizza was better than the pasta, but hardly turning heads. It was way over-cheesed. This resulted in serious structural issues as well as sogginess in the centre of the pizza. The meats themselves were fine, but the pizza could have done with a BBQ sauce or something to add a little pizzazz. Also, there was a cat tower near the kitchen. Tragically we never saw any cats.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25-rustic-steakhouse.md,Reviews,post,Rustic Steakhouse,2021-01-25,3,lunch,"21 Mataroa Road, Taihape 4720",New Zealand,Manawatu,Taihape,https://www.facebook.com/rusticsteakhouse/,"Eye fillet, polenta chips and BBQ sauce Beef burger with chips Rustic Steak House does simple food, but does it pretty well. The burger was basic but tasty. Particularly welcome was the steak knife through the middle of the burger, allowing the burger to be cut in half making it a breeze to eat. The eye fillet was properly cooked and came with the very welcome surprise of a half clove of roasted garlic. A little side salad wouldn't have gone amiss.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
